date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:25	62473/62473	---M--	200	added ('OK')	text/css	etag:%22f409-518a1d1c98700%22	http://localhost:8888/knbc/templates/aaika/js/mainmenu/bootstrap.min.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/js/mainmenu/bootstrap.min.css	(from http://localhost:8888/knbc/)
21:06:27	15988/15988	---M--	200	added ('OK')	text/css	etag:%223e74-52edc8a911500%22	http://localhost:8888/knbc/templates/aaika/js/mainmenu/menu-3.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/js/mainmenu/menu-3.css	(from http://localhost:8888/knbc/)
21:06:27	2689/2689	---M--	200	added ('OK')	text/css	etag:%22a81-5183f4fe57f80%22	http://localhost:8888/knbc/templates/aaika/js/tabs/tabwidget/tabwidget.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/js/tabs/tabwidget/tabwidget.css	(from http://localhost:8888/knbc/)
21:06:28	322/322	---M--	200	added ('OK')	text/css	etag:%22142-5608729576c80%22	http://localhost:8888/knbc/templates/aaika/css/custom.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/css/custom.css	(from http://localhost:8888/knbc/)
21:06:31	30856/30856	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:29%20GMT	http://localhost:8888/knbc/index.php	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index-2.html	(from http://localhost:8888/knbc/)
21:06:33	38844/38844	---M--	200	added ('OK')	image/png	etag:%2297bc-5e77afd954d80%22	http://localhost:8888/knbc/images/sliders/master/Logo%20II.png	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/sliders/master/Logo%20II.png	(from http://localhost:8888/knbc/)
21:06:35	23779/23779	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:31%20GMT	http://localhost:8888/knbc/index.php/about-us	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/about-us.html	(from http://localhost:8888/knbc/)
21:06:37	133202/133202	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:33%20GMT	http://localhost:8888/knbc/index.php/docks	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/docks.html	(from http://localhost:8888/knbc/)
21:06:39	65954/65954	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:35%20GMT	http://localhost:8888/knbc/index.php/gazebo-cabana	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/gazebo-cabana.html	(from http://localhost:8888/knbc/)
21:06:41	92685/92685	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:37%20GMT	http://localhost:8888/knbc/index.php/furniture-and-fire-pits	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/furniture-and-fire-pits.html	(from http://localhost:8888/knbc/)
